pipe,gen,dp_acc_reps,seed,dp,dpr,eo,eqOdds,accu,precision,recall,f1,roc_auc
"onehot_enc,mean_imp,quant_scale,no_samp,no_sel",1,"(20, 0)",73564,0.19439043248769086,0.2518955273919484,0.19044361587462375,0.2781050241784763,0.16234145142962414,0.29935605465682397,0.4310674658844534,0.3720439189189192,0.2540855128775021
"target_enc,most_freq_imp,max_abs_scale,k_best_sel,under_samp",1,"(20, 0)",73564,0.4251427501039936,0.34224096423882905,0.24575663524263425,0.5175296082894316,0.19966561981890066,0.2176787874325772,0.16776001147812786,0.19349205613041232,0.19966561981890066
"target_enc,mean_imp,under_samp,quant_scale,k_best_sel",1,"(20, 0)",73564,0.3981558188869725,0.3679319844951264,0.2168546111253704,0.463966263661528,0.20425687093482986,0.21710423378169516,0.1815417357479913,0.19971922719714824,0.20425687093482986
"woe_enc,most_freq_imp,over_samp,k_best_sel,quant_scale",1,"(20, 0)",73564,0.3949019925071096,0.3697960229029947,0.21428082382960068,0.4547599281334251,0.20222713137135914,0.21389713240620545,0.18183214502427186,0.19818536836368408,0.20222713137135914
"onehot_enc,median_imp,norm_scale,under_samp,k_best_sel",1,"(20, 0)",73564,0.19229344349139926,-1.0,0.6146098388464801,0.7322703511811187,0.3278340613442164,0.2992617242095622,0.3979283573523786,0.3533127779894372,0.32783406134421633
"count_enc,median_imp,min_max_scale,k_best_sel,no_samp",1,"(20, 0)",73564,0.18948321664469767,0.1322321793425897,0.30378555064881285,0.3882839031009933,0.1753631645219739,0.2898007496547642,0.5408748884070914,0.4422927962819515,0.30015022737506664
"ordinal_enc,mean_imp,norm_scale,over_samp,no_sel",1,"(20, 0)",73564,0.4118003378185629,-1.0,0.4081461744977592,0.7500342713493021,0.33988862762944994,0.3601116193020695,0.2676002477750809,0.3169763680095204,0.33988862762944994
"ordinal_enc,most_freq_imp,norm_scale,no_samp,no_sel",2,"(20, 0)",73564,0.06879584068331637,-1.0,0.7514843087362167,0.7981898967262085,0.21961856208347375,0.3967684021543991,0.7428899375079703,0.6394527407672356,0.3982653571035006
"onehot_enc,mean_imp,quant_scale,over_samp,no_sel",2,"(20, 0)",73564,0.3881795798355142,0.38750709900617175,0.18648743320047528,0.42061877551392896,0.19172039340614888,0.20878233990066744,0.16242604672330094,0.186264200378376,0.19172039340614888
"onehot_enc,median_imp,norm_scale,under_samp,k_best_sel",2,"(20, 0)",73564,0.19229344349139926,-1.0,0.6146098388464801,0.7322703511811187,0.3278340613442164,0.2992617242095622,0.3979283573523786,0.3533127779894372,0.32783406134421633
"onehot_enc,median_imp,norm_scale,over_samp,k_best_sel",2,"(20, 0)",73564,0.2299928463842112,-1.0,0.4822068521461169,0.6008913678884025,0.2687639057443365,0.2917736784553227,0.21349489279935274,0.2546888476737685,0.2687639057443365
"woe_enc,median_imp,norm_scale,over_samp,k_best_sel",2,"(20, 0)",73564,0.2900554773848251,-1.0,0.2754803407002035,0.3971768065050407,0.2125609956512945,0.2516613949046041,0.13383583636731394,0.19704880233109925,0.21256099565129452
"onehot_enc,most_freq_imp,over_samp,k_best_sel,quant_scale",2,"(20, 0)",73564,0.44451917102170135,0.3138643740605323,0.3237063942043548,0.6094698067040405,0.22342675465210365,0.2381704707949496,0.19527078276699028,0.2173085581292027,0.22342675465210354
"onehot_enc,mean_imp,quant_scale,no_samp,no_sel",2,"(20, 0)",73564,0.19439043248769086,0.2518955273919484,0.19044361587462375,0.2781050241784763,0.16234145142962414,0.29935605465682397,0.4310674658844534,0.3720439189189192,0.2540855128775021
"count_enc,median_imp,min_max_scale,k_best_sel,no_samp",2,"(20, 0)",73564,0.18948321664469767,0.1322321793425897,0.30378555064881285,0.3882839031009933,0.1753631645219739,0.2898007496547642,0.5408748884070914,0.4422927962819515,0.30015022737506664
"ordinal_enc,most_freq_imp,norm_scale,over_samp,no_sel",2,"(20, 0)",73564,0.3377916059854089,-1.0,0.4508526610246143,0.7067152939478833,0.3100209850323625,0.3208964604570759,0.2796577922734628,0.3008860724680362,0.3100209850323625
"target_enc,mean_imp,under_samp,quant_scale,k_best_sel",2,"(20, 0)",73564,0.3981558188869725,0.3679319844951264,0.2168546111253704,0.463966263661528,0.20425687093482986,0.21710423378169516,0.1815417357479913,0.19971922719714824,0.20425687093482986
"ordinal_enc,most_freq_imp,norm_scale,no_samp,no_sel",3,"(20, 0)",73564,0.06879584068331637,-1.0,0.7514843087362167,0.7981898967262085,0.21961856208347375,0.3967684021543991,0.7428899375079703,0.6394527407672356,0.3982653571035006
"onehot_enc,most_freq_imp,over_samp,k_best_sel,quant_scale",3,"(20, 0)",73564,0.44451917102170135,0.3138643740605323,0.3237063942043548,0.6094698067040405,0.22342675465210365,0.2381704707949496,0.19527078276699028,0.2173085581292027,0.22342675465210354
"count_enc,median_imp,min_max_scale,no_sel,no_samp",3,"(20, 0)",73564,0.18956866186118626,0.13438785793058455,0.30808614376119303,0.39125979808003536,0.17462608642240698,0.288268815091374,0.5380691238362447,0.4397525135344156,0.29870689201521
"ordinal_enc,most_freq_imp,norm_scale,over_samp,k_best_sel",3,"(20, 0)",73564,0.3436177192638637,-1.0,0.4628468102385005,0.7316124482701936,0.321679055420712,0.3325916113738085,0.28908146237864085,0.3115247676167943,0.321679055420712
"onehot_enc,median_imp,norm_scale,over_samp,k_best_sel",3,"(20, 0)",73564,0.2299928463842112,-1.0,0.4822068521461169,0.6008913678884025,0.2687639057443365,0.2917736784553227,0.21349489279935274,0.2546888476737685,0.2687639057443365
"woe_enc,median_imp,norm_scale,over_samp,k_best_sel",3,"(20, 0)",73564,0.2900554773848251,-1.0,0.2754803407002035,0.3971768065050407,0.2125609956512945,0.2516613949046041,0.13383583636731394,0.19704880233109925,0.21256099565129452
"onehot_enc,mean_imp,quant_scale,over_samp,no_sel",3,"(20, 0)",73564,0.3881795798355142,0.38750709900617175,0.18648743320047528,0.42061877551392896,0.19172039340614888,0.20878233990066744,0.16242604672330094,0.186264200378376,0.19172039340614888
"onehot_enc,mean_imp,quant_scale,no_samp,no_sel",3,"(20, 0)",73564,0.19439043248769086,0.2518955273919484,0.19044361587462375,0.2781050241784763,0.16234145142962414,0.29935605465682397,0.4310674658844534,0.3720439189189192,0.2540855128775021
"ordinal_enc,most_freq_imp,norm_scale,over_samp,no_sel",3,"(20, 0)",73564,0.3377916059854089,-1.0,0.4508526610246143,0.7067152939478833,0.3100209850323625,0.3208964604570759,0.2796577922734628,0.3008860724680362,0.3100209850323625
"target_enc,mean_imp,under_samp,quant_scale,k_best_sel",3,"(20, 0)",73564,0.3981558188869725,0.3679319844951264,0.2168546111253704,0.463966263661528,0.20425687093482986,0.21710423378169516,0.1815417357479913,0.19971922719714824,0.20425687093482986
"woe_enc,median_imp,norm_scale,no_samp,k_best_sel",4,"(20, 0)",73564,0.07900844861201382,-1.0,0.6692111959287531,0.7172720799988122,0.2059826172414852,0.3619094008767655,0.6658589465629392,0.5613961664016073,0.3629861075856765
"count_enc,median_imp,min_max_scale,no_sel,over_samp",4,"(20, 0)",73564,0.4480943810109588,0.28244854282091325,0.3699223682168856,0.6356163764070463,0.2225810325647249,0.22471321802322866,0.2187089148462784,0.2217231595130967,0.2225810325647249
"onehot_enc,mean_imp,quant_scale,over_samp,no_sel",4,"(20, 0)",73564,0.3881795798355142,0.38750709900617175,0.18648743320047528,0.42061877551392896,0.19172039340614888,0.20878233990066744,0.16242604672330094,0.186264200378376,0.19172039340614888
"ordinal_enc,most_freq_imp,norm_scale,over_samp,no_sel",4,"(20, 0)",73564,0.3377916059854089,-1.0,0.4508526610246143,0.7067152939478833,0.3100209850323625,0.3208964604570759,0.2796577922734628,0.3008860724680362,0.3100209850323625
"onehot_enc,most_freq_imp,norm_scale,over_samp,k_best_sel",4,"(20, 0)",73564,0.2310326093358039,-1.0,0.4793525017118636,0.5983905021288779,0.2689867136933657,0.29193443392668256,0.21382420610841416,0.2549266298226498,0.2689867136933657
"ordinal_enc,mean_imp,quant_scale,no_samp,no_sel",4,"(20, 0)",73564,0.192454757899752,0.10182283687393552,0.37607915871899095,0.4649776613050962,0.1925923650993523,0.33992659053833635,0.5871700038260427,0.4920360925853273,0.3273026394534745
"woe_enc,median_imp,norm_scale,over_samp,k_best_sel",4,"(20, 0)",73564,0.2900554773848251,-1.0,0.2754803407002035,0.3971768065050407,0.2125609956512945,0.2516613949046041,0.13383583636731394,0.19704880233109925,0.21256099565129452
"count_enc,median_imp,min_max_scale,no_sel,no_samp",4,"(20, 0)",73564,0.18956866186118626,0.13438785793058455,0.30808614376119303,0.39125979808003536,0.17462608642240698,0.288268815091374,0.5380691238362447,0.4397525135344156,0.29870689201521
"ordinal_enc,most_freq_imp,norm_scale,no_samp,no_sel",4,"(20, 0)",73564,0.06879584068331637,-1.0,0.7514843087362167,0.7981898967262085,0.21961856208347375,0.3967684021543991,0.7428899375079703,0.6394527407672356,0.3982653571035006
"ordinal_enc,most_freq_imp,norm_scale,over_samp,k_best_sel",4,"(20, 0)",73564,0.3436177192638637,-1.0,0.4628468102385005,0.7316124482701936,0.321679055420712,0.3325916113738085,0.28908146237864085,0.3115247676167943,0.321679055420712
"ordinal_enc,most_freq_imp,norm_scale,over_samp,k_best_sel",5,"(20, 0)",73564,0.3436177192638637,-1.0,0.4628468102385005,0.7316124482701936,0.321679055420712,0.3325916113738085,0.28908146237864085,0.3115247676167943,0.321679055420712
"ordinal_enc,mean_imp,quant_scale,no_samp,no_sel",5,"(20, 0)",73564,0.192454757899752,0.10182283687393552,0.37607915871899095,0.4649776613050962,0.1925923650993523,0.33992659053833635,0.5871700038260427,0.4920360925853273,0.3273026394534745
"woe_enc,median_imp,norm_scale,no_samp,k_best_sel",5,"(20, 0)",73564,0.07900844861201382,-1.0,0.6692111959287531,0.7172720799988122,0.2059826172414852,0.3619094008767655,0.6658589465629392,0.5613961664016073,0.3629861075856765
"onehot_enc,most_freq_imp,norm_scale,over_samp,k_best_sel",5,"(20, 0)",73564,0.2310326093358039,-1.0,0.4793525017118636,0.5983905021288779,0.2689867136933657,0.29193443392668256,0.21382420610841416,0.2549266298226498,0.2689867136933657
"ordinal_enc,most_freq_imp,norm_scale,no_samp,no_sel",5,"(20, 0)",73564,0.06879584068331637,-1.0,0.7514843087362167,0.7981898967262085,0.21961856208347375,0.3967684021543991,0.7428899375079703,0.6394527407672356,0.3982653571035006
"count_enc,median_imp,min_max_scale,no_sel,no_samp",5,"(20, 0)",73564,0.18956866186118626,0.13438785793058455,0.30808614376119303,0.39125979808003536,0.17462608642240698,0.288268815091374,0.5380691238362447,0.4397525135344156,0.29870689201521
"woe_enc,median_imp,norm_scale,over_samp,k_best_sel",5,"(20, 0)",73564,0.2900554773848251,-1.0,0.2754803407002035,0.3971768065050407,0.2125609956512945,0.2516613949046041,0.13383583636731394,0.19704880233109925,0.21256099565129452
"ordinal_enc,most_freq_imp,norm_scale,over_samp,no_sel",5,"(20, 0)",73564,0.3377916059854089,-1.0,0.4508526610246143,0.7067152939478833,0.3100209850323625,0.3208964604570759,0.2796577922734628,0.3008860724680362,0.3100209850323625
"onehot_enc,mean_imp,quant_scale,over_samp,no_sel",5,"(20, 0)",73564,0.3881795798355142,0.38750709900617175,0.18648743320047528,0.42061877551392896,0.19172039340614888,0.20878233990066744,0.16242604672330094,0.186264200378376,0.19172039340614888
"count_enc,median_imp,min_max_scale,no_sel,over_samp",5,"(20, 0)",73564,0.4480943810109588,0.28244854282091325,0.3699223682168856,0.6356163764070463,0.2225810325647249,0.22471321802322866,0.2187089148462784,0.2217231595130967,0.2225810325647249
"woe_enc,median_imp,norm_scale,no_samp,no_sel",6,"(20, 0)",73564,0.07882276483149206,-1.0,0.6709075487701448,0.7189684328402018,0.20601332882896756,0.36199756394640653,0.6659864813161598,0.5615268709191359,0.3630498749622862
