pipe,dp,eo,eqOdds,accu,precision,recall,f1,roc_auc,dpr,gen,opt_metric,seed
"woe_enc,most_freq_imp,no_samp,norm_scale,k_best_sel",0.18890814558058924,0.6146788990825688,0.757841292244962,0.30639730639730645,0.3647058823529412,0.5263157894736843,0.457286432160804,0.3478573482887547,-1.0,5,"(1, 0, 0, 0)",28222
"loo_enc,median_imp,norm_scale,k_best_sel,under_samp",0.3526448362720403,0.41284403669724773,0.6767329255861366,0.3464912280701754,0.33009708737864074,0.39473684210526316,0.3640552995391705,0.3464912280701755,-1.0,5,"(1, 0, 0, 0)",28222
"woe_enc,mean_imp,no_sel,over_samp,norm_scale",0.30387596899224806,0.4576271186440678,0.6713023323192815,0.3051001821493625,0.2885375494071146,0.34426229508196726,0.31753554502369663,0.3051001821493625,-1.0,5,"(1, 0, 0, 0)",28222
"count_enc,most_freq_imp,over_samp,norm_scale,no_sel",0.164576802507837,0.6823529411764706,0.7913273001508296,0.2331511839708561,0.23603603603603607,0.22768670309653916,0.2318840579710144,0.233151183970856,-1.0,5,"(1, 0, 0, 0)",28222
"loo_enc,most_freq_imp,norm_scale,k_best_sel,under_samp",0.3391959798994975,0.41284403669724773,0.6585187771816767,0.3406432748538012,0.3177257525083612,0.4035087719298246,0.3634945397815914,0.3406432748538011,-1.0,5,"(1, 0, 0, 0)",28222
"woe_enc,median_imp,under_samp,k_best_sel,quant_scale",0.856447688564477,0.6788990825688074,1.5994288838933106,0.20175438596491224,0.19277108433734935,0.216374269005848,0.20474777448071202,0.20175438596491224,0.1435523114355231,5,"(1, 0, 0, 0)",28222
"loo_enc,most_freq_imp,norm_scale,k_best_sel,under_samp",0.33251231527093594,0.45871559633027525,0.7146078522225312,0.3538011695906432,0.3344370860927153,0.4122807017543859,0.37577639751552794,0.3538011695906432,-1.0,6,"(1, 0, 0, 0)",28222
"count_enc,most_freq_imp,no_sel,over_samp,norm_scale",0.16718266253869968,0.6797752808988764,0.7887496398732354,0.23497267759562845,0.2368896925858951,0.23132969034608375,0.23411978221415597,0.23497267759562834,-1.0,6,"(1, 0, 0, 0)",28222
"woe_enc,median_imp,no_samp,norm_scale,no_sel",0.1854419410745234,0.6146788990825688,0.7535677879714577,0.303030303030303,0.3548387096774194,0.5321637426900585,0.4576271186440678,0.346227590835011,-1.0,6,"(1, 0, 0, 0)",28222
"woe_enc,most_freq_imp,k_best_sel,no_samp,norm_scale",0.18890814558058924,0.6146788990825688,0.757841292244962,0.30639730639730645,0.3647058823529412,0.5263157894736843,0.457286432160804,0.3478573482887547,-1.0,6,"(1, 0, 0, 0)",28222
"count_enc,most_freq_imp,k_best_sel,no_samp,norm_scale",0.11785095320623917,0.7247706422018348,0.8059672233984161,0.2828282828282829,0.2727272727272727,0.5789473684210527,0.4666666666666667,0.33865401207937884,-1.0,6,"(1, 0, 0, 0)",28222
"woe_enc,most_freq_imp,no_sel,over_samp,norm_scale",0.2914012738853503,0.46875,0.6781517094017094,0.2896174863387978,0.27831094049904026,0.3151183970856102,0.2971962616822429,0.2896174863387978,-1.0,6,"(1, 0, 0, 0)",28222
"woe_enc,mean_imp,over_samp,norm_scale,no_sel",0.3018575851393189,0.4606741573033708,0.6722126188418324,0.3005464480874317,0.28402366863905326,0.3387978142076503,0.3125,0.3005464480874317,-1.0,6,"(1, 0, 0, 0)",28222
"woe_enc,most_freq_imp,no_samp,norm_scale,k_best_sel",0.18890814558058924,0.6146788990825688,0.757841292244962,0.30639730639730645,0.3647058823529412,0.5263157894736843,0.457286432160804,0.3478573482887547,-1.0,6,"(1, 0, 0, 0)",28222
"count_enc,most_freq_imp,over_samp,norm_scale,no_sel",0.20184899845916796,0.6243093922651933,0.7589247768805779,0.23861566484517305,0.24956369982547988,0.21675774134790526,0.23351158645276282,0.23861566484517294,-1.0,6,"(1, 0, 0, 0)",28222
"woe_enc,mean_imp,no_sel,over_samp,norm_scale",0.2992248062015504,0.4745762711864407,0.6882514848616543,0.3051001821493625,0.2893700787401575,0.3424408014571949,0.3169347209082308,0.30510018214936263,-1.0,6,"(1, 0, 0, 0)",28222
"woe_enc,most_freq_imp,no_samp,norm_scale,no_sel",0.18890814558058924,0.6146788990825688,0.757841292244962,0.30527497194163866,0.36,0.5321637426900585,0.45945945945945954,0.34804908445978333,-1.0,7,"(1, 0, 0, 0)",28222
